Date,Open,High,Low,Close,Volume
6/16/2016,7.7592,7.7616,7.7577,7.7591,0
6/15/2016,7.7596,7.7623,7.7586,7.7602,0
6/14/2016,7.7624,7.7637,7.7585,7.7603,0
6/13/2016,7.7616,7.765,7.7614,7.7631,0
6/10/2016,7.7613,7.7647,7.7599,7.7626,0
6/9/2016,7.7596,7.763,7.7592,7.7617,0
6/8/2016,7.7654,7.7672,7.7596,7.7601,0
6/7/2016,7.7668,7.7684,7.7651,7.7657,0
6/6/2016,7.767,7.7695,7.7664,7.7675,0
6/3/2016,7.77,7.7725,7.767,7.768,0
6/2/2016,7.7702,7.772,7.7668,7.7707,0
6/1/2016,7.7708,7.7723,7.7673,7.7709,0
5/31/2016,7.7689,7.7718,7.7663,7.7714,0
5/30/2016,7.7659,7.7698,7.7651,7.7694,0
5/27/2016,7.7663,7.7679,7.7632,7.7667,0
5/26/2016,7.7654,7.7675,7.7631,7.7668,0
5/25/2016,7.7683,7.7687,7.763,7.7656,0
5/24/2016,7.7671,7.7697,7.7656,7.7686,0
5/23/2016,7.7677,7.7689,7.7654,7.7679,0
5/20/2016,7.7674,7.7693,7.7641,7.7688,0
5/19/2016,7.7641,7.7691,7.7641,7.7675,0
5/18/2016,7.7619,7.766,7.7617,7.7648,0
5/17/2016,7.763,7.7645,7.761,7.7626,0
5/16/2016,7.7627,7.7651,7.7612,7.7638,0
5/13/2016,7.7591,7.7653,7.7591,7.7638,0
5/12/2016,7.7602,7.7613,7.7575,7.7598,0
5/11/2016,7.7613,7.7626,7.7595,7.7607,0
5/10/2016,7.7634,7.7645,7.7606,7.7621,0
5/9/2016,7.7603,7.7644,7.7592,7.7641,0
5/6/2016,7.7613,7.7629,7.7592,7.7614,0
5/5/2016,7.762,7.7635,7.7593,7.7619,0
5/4/2016,7.7616,7.7636,7.7591,7.7625,0
5/3/2016,7.7577,7.7639,7.7577,7.7623,0
5/2/2016,7.7572,7.7603,7.7565,7.7584,0
4/29/2016,7.7571,7.7596,7.7557,7.7571,0
4/28/2016,7.7553,7.7588,7.755,7.7579,0
